provider,pergunta,resposta,tempo_busca_ms,tempo_geracao_ms,tempo_total_ms,tamanho_resposta,num_citacoes,tem_citacoes,citacoes_encontradas,custo_estimado_usd
Gemini,Qual a acurácia obtida pelo classificador de Regressão Logística no Artigo 1?,"O classificador de Regressão Logística obteve uma Acurácia de 97,1% (ML_Attacks_Metrics.pdf).",89.36905860900879,1318.8881874084473,1408.257246017456,93,1,True,['(ML_Attacks_Metrics.pdf)'],5.46e-06
Gemini,O que o Artigo 1 menciona sobre o consumo de CPU durante a inferência?,"Erro ao chamar a API do Gemini: Invalid operation: The `response.text` quick accessor requires the response to contain a valid `Part`, but none were returned. The candidate's [finish_reason](https://ai.google.dev/api/generate-content#finishreason) is 2.",80.42478561401367,10420.454740524292,10500.879526138306,253,0,False,[],1.3065e-05
Gemini,Qual o método de redução de dimensionalidade utilizado no Artigo 1 e quantas features foram mantidas?,"No Artigo 1, o método de redução de dimensionalidade utilizado foi a Análise de Componentes Principais (PCA), que reduziu 75 features iniciais para 12 (ML_Attacks_Metrics.pdf).",88.93799781799316,2100.9793281555176,2189.9173259735107,176,1,True,['(ML_Attacks_Metrics.pdf)'],1.1309999999999998e-05
Gemini,Que tipo de Rede Neural Recorrente foi o classificador escolhido para identificar o ataque DDoS no Artigo 2?,O classificador escolhido para identificar o ataque DDoS foi uma Rede Neural Recorrente (RNN) do tipo LSTM (Long Short-Term Memory) de quatro camadas (Fonte: DL_Attacks_Types.pdf).,104.38919067382812,3526.113986968994,3630.5031776428223,180,1,True,['(Fonte: DL_Attacks_Types.pdf)'],1.1504999999999999e-05
Gemini,"Qual o valor específico da acurácia geral do modelo LSTM, conforme o Artigo 2?","O estudo sobre a eficácia do Deep Learning na identificação de Distributed Denial of Service (DDoS) com o classificador LSTM não reporta o valor específico da acurácia geral do modelo, apenas as métricas de Recall (DL_Attacks_Types.pdf).",87.7845287322998,2620.4068660736084,2708.191394805908,237,1,True,['(DL_Attacks_Types.pdf)'],1.5405000000000002e-05
Gemini,"Qual a métrica que demonstra a falha do Firewall contra DNS Spoofing no Artigo 3, e qual o seu valor?","A métrica que demonstra a falha do Firewall contra ataques de DNS Spoofing é a Taxa de Falso Negativo (FNR), com um valor de 0,40 (Fonte: Security_Mitigation_Fails.pdf).",322.6008415222168,7657.076597213745,7979.677438735962,169,1,True,['(Fonte: Security_Mitigation_Fails.pdf)'],1.2479999999999999e-05
Gemini,"Qual algoritmo, o Regressão Logística (Artigo 1) ou a CNN (Artigo 2), exigiu um tempo de processamento 6 vezes maior?","O contexto indica que o algoritmo LSTM (Long Short-Term Memory), e não uma CNN, exigiu um tempo de processamento 6 vezes maior em comparação ao método Random Forest (DL_Attacks_Types.pdf). O estudo sobre Regressão Logística (ML_Attacks_Metrics.pdf) não menciona que este algoritmo tenha exigido um tempo de processamento 6 vezes maior.",117.38300323486328,8090.644836425781,8208.027839660645,335,2,True,"['(DL_Attacks_Types.pdf)', '(ML_Attacks_Metrics.pdf)']",2.106e-05
Deepseek,Qual a acurácia obtida pelo classificador de Regressão Logística no Artigo 1?,"Com base no contexto fornecido, o classificador de Regressão Logística descrito no Artigo 1 (ML_Attacks_Metrics.pdf) alcançou uma **acurácia de 97,1%** em testes realizados no dataset DARPA 2000 (Fonte, p. 1, sec. 1).",84.46264266967773,3919.8946952819824,4004.35733795166,217,1,True,['(ML_Attacks_Metrics.pdf)'],4.9972e-05
Deepseek,O que o Artigo 1 menciona sobre o consumo de CPU durante a inferência?,"De acordo com o contexto fornecido, o Artigo 1 (ML_Attacks_Metrics.pdf) menciona que o consumo médio de CPU durante a inferência foi de apenas 15% (Fonte, p. 1, sec. 1).",79.4515609741211,2774.718999862671,2854.170560836792,169,1,True,['(ML_Attacks_Metrics.pdf)'],4.638400000000001e-05
Deepseek,Qual o método de redução de dimensionalidade utilizado no Artigo 1 e quantas features foram mantidas?,"No Artigo 1 (ML_Attacks_Metrics.pdf), o método de redução de dimensionalidade utilizado foi a **Análise de Componentes Principais (PCA)**, reduzindo de **75 features iniciais para 12 features mantidas** (Fonte, p. 1, sec. 1).",103.51252555847168,2964.463710784912,3067.976236343384,225,1,True,['(ML_Attacks_Metrics.pdf)'],5.1376000000000004e-05
